Timestamp,Who are you?,"At what time, do you prefer to visit a Restaurant?",How much money do you typically spend per person for a meal at a restaurant in Pondicherry?,"When you visit a Restaurant, how important are the following? (5 being the most important)? [Quality of Food]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Friendly/Fast Service]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Special Ordering/Customizing Your Meal]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Convenience/Location]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Price]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Dining Environment]",Would you like to try cuisines that are inspired from different cultures and that are currently unavailable in Pondicherry?,What type of dining room do you prefer?,How do you inform yourself about the restaurants of Pondicherry?,What is your gender?,What is your age?,"To help us preserve the integrity of this survey, please write your name and sign below."
1/31/2017 12:51:37,Local Resident,Lunch,₹ 75-150,2,4,2,4,5,4,Yes,Fast Casual,Random,Male,22-30,
1/31/2017 12:53:11,Local Resident,Evening Snacks,₹ 75-150,3,4,3,5,3,3,May be,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 12:54:43,Tourist,Dinner,₹ 75-150,5,,,,,5,May be,Fast Casual,Recommendation from friends,Male,22-30,
1/31/2017 12:55:42,Local Resident,"Evening Snacks, Dinner",₹ 75-150,5,5,5,5,3,4,Yes,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 12:56:49,Local Resident,Lunch,₹ 75-150,5,5,5,3,3,5,Yes,Relaxed,Recommendation from friends,Male,41-50,
1/31/2017 12:57:42,Local Resident,Evening Snacks,₹ 250-350,5,3,3,3,3,5,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 12:58:30,Local Resident,Lunch,₹ 75-150,4,5,4,2,3,1,May be,Formal,Internet,Male,16-21,
1/31/2017 12:59:09,Local Resident,Lunch,₹ 75-150,3,4,3,3,4,4,May be,Formal,Random,Male,16-21,
1/31/2017 12:59:43,Local Resident,Lunch,₹ 75-150,5,5,5,5,5,5,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 13:00:51,Local Resident,Lunch,₹ 75-150,4,5,5,,2,5,Yes,Formal,Recommendation from friends,Male,16-21,
1/31/2017 13:01:30,Local Resident,Lunch,₹ 75-150,3,4,5,4,4,4,May be,Formal,Recommendation from friends,Male,16-21,
1/31/2017 13:02:42,Tourist,Lunch,₹ 150-250,2,5,5,5,5,5,May be,Formal,Recommendation from friends,Male,16-21,
1/31/2017 13:03:23,Tourist,Dinner,₹ 350+,5,5,5,5,5,5,Yes,Doesn't Matter,Recommendation from friends,Male,22-30,
1/31/2017 13:04:09,Local Resident,Dinner,₹ 150-250,5,5,3,5,5,4,May be,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 13:04:54,Local Resident,Lunch,₹ 75-150,1,2,1,2,1,5,Yes,Formal,Internet,Female,16-21,
1/31/2017 13:06:04,Tourist,Lunch,₹ 350+,4,3,3,4,2,4,Yes,Relaxed,Internet,Male,22-30,
1/31/2017 13:06:57,Tourist,Evening Snacks,₹ 150-250,5,5,4,5,5,5,Yes,Relaxed,"Internet, Random",Male,22-30,
1/31/2017 13:07:51,Local Resident,Lunch,₹ 75-150,1,1,1,1,1,1,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 13:08:50,Local Resident,Lunch,₹ 75-150,1,1,1,1,1,1,Yes,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 13:09:27,Local Resident,Lunch,₹ 75-150,1,2,1,2,1,1,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 13:09:59,Local Resident,Dinner,₹ 150-250,1,1,1,1,1,1,Yes,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 13:10:54,Local Resident,Lunch,₹ 250-350,1,1,1,1,1,1,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 13:11:29,Local Resident,Lunch,₹ 75-150,5,5,5,5,5,5,Yes,Relaxed,Recommendation from friends,Female,31-40,
1/31/2017 13:12:05,Local Resident,Lunch,₹ 75-150,5,5,5,,3,5,Yes,Relaxed,Recommendation from friends,Female,22-30,
1/31/2017 13:12:49,Local Resident,Lunch,₹ 150-250,4,5,2,5,2,3,Yes,Relaxed,Random,Male,16-21,
1/31/2017 13:13:22,Tourist,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 150-250,5,4,2,4,4,5,Yes,Relaxed,Recommendation from friends,Male,16-21,
1/31/2017 13:14:33,Local Resident,Evening Snacks,₹ 350+,5,5,5,5,4,5,Yes,Fast Casual,Internet,Male,16-21,
1/31/2017 13:15:25,Local Resident,Dinner,₹ 250-350,4,5,3,5,3,5,Yes,Relaxed,Banner Ads & Leaflet,Male,31-40,
1/31/2017 13:16:06,Local Resident,Lunch,₹ 75-150,3,5,3,5,4,5,Yes,Relaxed,Internet,Female,31-40,
1/31/2017 13:17:15,Local Resident,Lunch,,5,5,5,5,3,5,Yes,Relaxed,Recommendation from friends,Male,16-21,
1/31/2017 13:17:57,Tourist,Dinner,₹ 250-350,1,1,1,1,1,1,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 13:19:07,Local Resident,Dinner,₹ 150-250,1,1,1,1,1,1,Yes,Formal,Recommendation from friends,Female,16-21,
1/31/2017 14:45:47,Local Resident,Lunch,₹ 75-150,1,1,1,1,1,1,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 14:46:44,Local Resident,Breakfast,₹ 75-150,5,4,3,5,4,5,May be,Relaxed,Internet,Female,16-21,
1/31/2017 14:47:57,Local Resident,Breakfast,₹ 75-150,1,1,3,1,1,1,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 14:48:35,Local Resident,Evening Snacks,₹ 75-150,5,5,5,5,5,5,Yes,Relaxed,Internet,Male,22-30,
1/31/2017 14:49:26,Tourist,Lunch,₹ 150-250,,4,,,,,May be,Formal,Internet,Male,22-30,
1/31/2017 14:50:17,Tourist,Dinner,₹ 350+,5,,,3,5,2,May be,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 14:50:56,Tourist,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 150-250,5,5,5,5,5,3,Yes,Relaxed,"Recommendation from friends, Internet",Male,22-30,
1/31/2017 14:51:46,Tourist,Breakfast,₹ 150-250,1,3,1,2,3,2,Yes,Relaxed,Banner Ads & Leaflet,Female,22-30,
1/31/2017 14:52:20,Local Resident,Lunch,₹ 75-150,1,1,1,1,1,1,Yes,Formal,Internet,Male,22-30,
1/31/2017 14:54:34,Tourist,Lunch,₹ 0-75,1,1,1,1,4,1,Yes,Formal,Recommendation from friends,Female,16-21,
1/31/2017 14:55:18,Local Resident,Lunch,₹ 75-150,1,2,1,1,2,1,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 14:55:53,Tourist,Evening Snacks,₹ 150-250,1,1,2,1,2,1,May be,Relaxed,Recommendation from friends,Male,16-21,
1/31/2017 14:56:48,Local Resident,Lunch,₹ 75-150,5,5,5,5,3,5,May be,Relaxed,Recommendation from friends,Female,22-30,
1/31/2017 14:57:27,Local Resident,Lunch,₹ 75-150,5,3,4,5,3,5,May be,Relaxed,Recommendation from friends,Male,41-50,
1/31/2017 14:58:31,Local Resident,Breakfast,₹ 250-350,5,5,5,,4,5,Yes,Relaxed,"Recommendation from friends, Banner Ads & Leaflet, Internet",Female,31-40,
1/31/2017 14:59:16,Tourist,"Breakfast, Lunch, Dinner",₹ 150-250,5,5,5,5,3,5,May be,Relaxed,"Recommendation from friends, Internet",Female,22-30,
1/31/2017 14:59:54,Local Resident,Breakfast,₹ 75-150,5,3,4,4,2,5,May be,Relaxed,Internet,Male,31-40,
1/31/2017 15:00:44,Local Resident,Lunch,₹ 75-150,1,2,1,1,2,1,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 15:01:21,Local Resident,Lunch,₹ 75-150,1,1,2,1,2,1,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 15:02:11,Local Resident,Lunch,₹ 75-150,3,3,2,3,5,1,Yes,Formal,Recommendation from friends,Male,16-21,
1/31/2017 15:02:50,Tourist,Dinner,₹ 75-150,3,4,2,3,5,1,May be,Relaxed,Internet,Female,16-21,
1/31/2017 15:03:33,Tourist,"Lunch, Evening Snacks, Dinner",₹ 75-150,5,3,2,4,5,4,May be,Doesn't Matter,"Internet, Random",Male,22-30,
1/31/2017 15:04:13,Local Resident,Lunch,₹ 75-150,3,4,3,4,3,4,May be,,Recommendation from friends,Male,22-30,
1/31/2017 15:04:53,Local Resident,Lunch,₹ 0-75,5,5,2,4,5,5,May be,Relaxed,Internet,Female,16-21,
1/31/2017 15:05:32,Local Resident,Evening Snacks,₹ 75-150,1,5,2,3,5,5,Yes,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 15:06:15,Local Resident,Dinner,₹ 0-75,3,2,4,3,1,3,May be,Relaxed,Random,Male,16-21,
1/31/2017 15:06:52,Local Resident,Lunch,₹ 0-75,3,3,3,4,3,4,Yes,Formal,Recommendation from friends,Male,22-30,
1/31/2017 15:07:27,Tourist,Breakfast,₹ 0-75,1,2,1,1,1,1,Yes,Relaxed,Internet,Male,22-30,
1/31/2017 15:08:12,Local Resident,Lunch,₹ 150-250,3,4,3,3,4,4,May be,Relaxed,Recommendation from friends,Male,16-21,
1/31/2017 15:08:50,Local Resident,Dinner,₹ 150-250,5,4,5,3,4,,Yes,Relaxed,Recommendation from friends,Male,31-40,
1/31/2017 15:09:43,Tourist,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 0-75,5,5,4,5,5,5,Yes,Relaxed,Random,Female,22-30,
1/31/2017 15:10:22,Local Resident,Dinner,₹ 0-75,5,4,1,3,3,3,May be,Relaxed,"Recommendation from friends, Random",Female,16-21,
1/31/2017 15:11:54,Local Resident,Lunch,₹ 75-150,4,3,3,,5,3,May be,Relaxed,"Recommendation from friends, Internet",Male,31-40,
1/31/2017 15:12:38,Tourist,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 150-250,5,5,4,,5,5,May be,Relaxed,Internet,Male,22-30,
1/31/2017 15:13:30,Local Resident,Lunch,₹ 150-250,5,3,2,,5,5,Yes,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 15:14:06,Tourist,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 350+,5,5,2,5,3,4,Yes,Relaxed,Internet,Female,22-30,
1/31/2017 15:14:39,Tourist,Dinner,₹ 150-250,4,4,1,3,4,4,May be,Relaxed,Recommendation from friends,Female,50+,
1/31/2017 15:15:32,Local Resident,Breakfast,₹ 75-150,3,3,3,3,3,3,Yes,Formal,Recommendation from friends,Male,22-30,
1/31/2017 15:16:25,Tourist,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 75-150,5,5,5,5,5,5,May be,Fast Casual,"Recommendation from friends, Internet",Female,22-30,
1/31/2017 15:17:00,Tourist,"Lunch, Dinner",₹ 150-250,1,1,3,2,1,1,No,Relaxed,Internet,Male,22-30,
1/31/2017 15:17:37,Local Resident,Dinner,₹ 150-250,5,4,5,,4,5,Yes,Relaxed,Recommendation from friends,Male,31-40,
1/31/2017 15:18:06,Tourist,"Breakfast, Lunch, Dinner",₹ 150-250,5,5,5,5,4,4,Yes,Relaxed,Internet,Male,22-30,
1/31/2017 15:18:59,Tourist,"Breakfast, Lunch, Dinner",₹ 150-250,5,5,4,5,5,4,May be,Relaxed,Internet,Female,22-30,
1/31/2017 15:19:35,Tourist,Evening Snacks,₹ 75-150,4,4,3,4,4,5,May be,Relaxed,Internet,Female,22-30,
1/31/2017 15:20:17,Tourist,"Breakfast, Lunch, Dinner",₹ 75-150,,,,3,3,4,No,Relaxed,Internet,Male,22-30,
1/31/2017 15:21:00,Tourist,Breakfast,₹ 75-150,3,,,,2,,No,Relaxed,Internet,Female,22-30,
1/31/2017 15:21:41,Local Resident,Dinner,₹ 150-250,5,4,5,5,3,5,May be,Relaxed,Internet,Male,22-30,
1/31/2017 15:22:21,Local Resident,Lunch,₹ 75-150,5,4,5,4,2,5,Yes,Relaxed,Internet,Female,16-21,
1/31/2017 15:22:59,Local Resident,Dinner,₹ 150-250,5,4,5,4,3,5,May be,Formal,"Recommendation from friends, Banner Ads & Leaflet",Female,31-40,
1/31/2017 15:23:27,Local Resident,Lunch,₹ 75-150,5,3,4,4,3,4,May be,Formal,Recommendation from friends,Female,22-30,
1/31/2017 15:24:08,Local Resident,Dinner,₹ 150-250,5,5,5,5,3,5,Yes,Relaxed,"Recommendation from friends, Internet",Male,22-30,
1/31/2017 15:24:55,Local Resident,Lunch,₹ 150-250,5,3,5,5,2,5,May be,Fast Casual,"Banner Ads & Leaflet, Internet",Male,31-40,
1/31/2017 15:25:43,Local Resident,Lunch,₹ 75-150,5,3,5,4,2,5,May be,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 15:26:21,Local Resident,Breakfast,₹ 75-150,5,3,5,4,2,5,Yes,Formal,"Recommendation from friends, Internet",Female,22-30,
1/31/2017 15:26:59,Local Resident,Dinner,₹ 75-150,5,5,5,5,3,5,May be,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 15:27:33,Local Resident,Lunch,₹ 75-150,5,4,5,3,2,5,May be,Relaxed,Banner Ads & Leaflet,Male,22-30,
1/31/2017 15:28:16,Local Resident,Breakfast,₹ 75-150,5,3,4,5,2,5,Yes,Formal,Recommendation from friends,Female,22-30,
1/31/2017 15:28:56,Local Resident,Dinner,₹ 75-150,5,3,4,5,1,5,May be,Relaxed,Recommendation from friends,Female,22-30,
1/31/2017 15:29:39,Local Resident,Breakfast,₹ 75-150,4,5,3,4,2,5,May be,Fast Casual,Internet,Male,31-40,
1/31/2017 15:30:21,Local Resident,"Breakfast, Lunch",₹ 75-150,5,3,5,4,1,5,May be,Relaxed,Recommendation from friends,Female,22-30,
1/31/2017 15:30:57,Local Resident,Lunch,₹ 75-150,5,4,5,5,2,5,Yes,Relaxed,Recommendation from friends,Female,22-30,
1/31/2017 15:32:05,Tourist,"Breakfast, Lunch, Dinner",₹ 150-250,5,4,5,5,2,5,,Relaxed,"Recommendation from friends, Internet",Male,31-40,
1/31/2017 15:32:38,Tourist,Dinner,₹ 250-350,5,4,5,5,1,5,May be,Fast Casual,Recommendation from friends,Female,22-30,
1/31/2017 15:33:05,Local Resident,Dinner,₹ 250-350,5,4,5,4,4,5,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 15:33:46,Local Resident,Lunch,₹ 75-150,5,5,5,5,5,5,,Formal,Recommendation from friends,Female,16-21,
1/31/2017 15:34:16,Local Resident,Lunch,₹ 75-150,5,5,5,5,5,5,Yes,Formal,Recommendation from friends,Female,16-21,
1/31/2017 15:35:42,Local Resident,Lunch,₹ 75-150,1,3,4,5,2,1,May be,Formal,Internet,Female,16-21,
1/31/2017 15:46:26,Local Resident,Lunch,₹ 150-250,1,2,1,2,3,4,May be,Formal,Banner Ads & Leaflet,Male,50+,
1/31/2017 15:47:16,Local Resident,Lunch,₹ 150-250,1,2,4,2,2,4,May be,Formal,Banner Ads & Leaflet,Female,31-40,
1/31/2017 15:47:53,Local Resident,Evening Snacks,₹ 150-250,1,2,4,2,2,1,Yes,Fast Casual,Recommendation from friends,Female,31-40,
1/31/2017 15:48:54,Local Resident,Evening Snacks,₹ 150-250,4,2,1,4,1,4,May be,Formal,Internet,Female,41-50,
1/31/2017 15:49:37,Local Resident,Lunch,₹ 75-150,5,1,3,3,5,1,Yes,Fast Casual,Internet,Male,22-30,
1/31/2017 15:50:14,Local Resident,Lunch,₹ 150-250,4,2,5,3,1,4,,Relaxed,Banner Ads & Leaflet,Male,22-30,
1/31/2017 15:50:58,Local Resident,Lunch,₹ 75-150,1,3,1,2,4,1,No,Fast Casual,Recommendation from friends,Male,22-30,
1/31/2017 15:51:35,Local Resident,Lunch,₹ 150-250,5,3,3,3,1,2,May be,Relaxed,Recommendation from friends,Female,22-30,
1/31/2017 15:52:04,Tourist,Evening Snacks,₹ 250-350,1,1,2,1,3,1,Yes,Formal,Internet,Female,22-30,
1/31/2017 15:52:44,Local Resident,Evening Snacks,₹ 150-250,2,1,3,2,4,5,Yes,Formal,Random,Male,16-21,
1/31/2017 15:53:33,Tourist,Evening Snacks,₹ 250-350,1,1,3,1,1,2,May be,Fast Casual,Recommendation from friends,Male,22-30,
1/31/2017 15:54:12,Local Resident,Evening Snacks,₹ 250-350,1,4,5,5,4,2,No,Doesn't Matter,Recommendation from friends,Male,31-40,
1/31/2017 15:54:51,Local Resident,Lunch,₹ 75-150,1,1,3,5,4,2,,Relaxed,Random,Male,16-21,
1/31/2017 15:55:33,Tourist,Lunch,₹ 75-150,1,3,2,4,1,5,May be,Fast Casual,Internet,Female,41-50,
1/31/2017 15:56:09,Tourist,Dinner,₹ 75-150,2,3,4,2,5,1,No,Doesn't Matter,Banner Ads & Leaflet,Male,16-21,
1/31/2017 15:56:46,Local Resident,Evening Snacks,₹ 75-150,1,1,1,1,3,5,Yes,Relaxed,Random,Male,22-30,
